"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:01 GMT 2022","101","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST123@MAIL.RU = true","TEST123@MAIL.RU = true",""
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","113","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST..Kseniya@MAIL.RU = format_not_valid","TEST..Kseniya@MAIL.RU = format_not_valid",""
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:01 GMT 2022","97","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST@MAIL.RU = true","TEST@MAIL.RU = true",""
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:01 GMT 2022","129","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим корректность возвращаемых данных с правильным email и access_key","Проверим корректность возвращаемых данных с правильным email и access_key",""
"failed","Thu Jun 02 09:04:02 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","92","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","@test.ru = format_not_valid","@test.ru = format_not_valid",""
"failed","Thu Jun 02 09:04:02 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","81","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test. = format_not_valid","test@test. = format_not_valid",""
"failed","Thu Jun 02 09:04:02 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","148","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test.ru = format_not_valid","test.ru = format_not_valid",""
"failed","Thu Jun 02 09:04:02 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","118","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","test@test = true","test@test = true",""
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:01 GMT 2022","110","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TEST%20Test@MAIL.RU = true","TEST%20Test@MAIL.RU = true",""
"failed","Thu Jun 02 09:04:01 GMT 2022","Thu Jun 02 09:04:01 GMT 2022","112","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","TE-_~!+=ST@MAIL.RU = true","TE-_~!+=ST@MAIL.RU = true",""
"passed","Thu Jun 02 09:04:02 GMT 2022","Thu Jun 02 09:04:02 GMT 2022","141","","Валидируем email в mailboxlayer.com","","Валидируем email в mailboxlayer.com","Проверим права доступа к точке без access_key","Проверим права доступа к точке без access_key",""
